Street Name,dia,hora,Current Speed (km/h)
Alfonso Reyes,2024-09-26,16,11.535457063711913
Alfonso Reyes,2024-09-26,17,12.794474196689388
Alfonso Reyes,2024-09-26,18,13.079584775086506
Alfonso Reyes,2024-09-26,19,13.056082238720732
Alfonso Reyes,2024-09-26,20,12.989844119036373
Alfonso Reyes,2024-09-26,21,14.571724137931035
Alfonso Reyes,2024-09-26,22,14.2924891053576
Alfonso Reyes,2024-09-26,23,15.494145513800461
Alfonso Reyes,2024-09-27,0,16.25605193661972
Alfonso Reyes,2024-09-27,1,17.542964207261917
Alfonso Reyes,2024-09-27,2,17.7962158808933
Alfonso Reyes,2024-09-27,3,18.396883289124666
Alfonso Reyes,2024-09-27,4,18.216973244147155
Alfonso Reyes,2024-09-27,5,18.313781615128338
Alfonso Reyes,2024-09-27,6,16.912836322869957
Alfonso Reyes,2024-09-27,7,15.218722659667542
Alfonso Reyes,2024-09-27,8,13.823104693140795
Alfonso Reyes,2024-09-27,9,13.578006500541713
Alfonso Reyes,2024-09-27,10,13.522727272727273
Alfonso Reyes,2024-09-27,11,13.452127659574469
Alfonso Reyes,2024-09-27,12,12.436363636363637
Alfonso Reyes,2024-09-27,13,12.563131452547895
Alfonso Reyes,2024-09-27,14,12.125474229665958
Alfonso Reyes,2024-09-27,15,10.902887658227849
Alfonso Reyes,2024-09-27,16,10.616524779568259
Alfonso Reyes,2024-09-27,17,11.346774193548388
Alfonso Reyes,2024-09-27,18,13.126288930581614
Alfonso Reyes,2024-09-27,19,14.585291625476628
Alfonso Reyes,2024-09-27,20,12.962768625573677
Alfonso Reyes,2024-09-27,21,13.864757016754222
Alfonso Reyes,2024-09-27,22,14.082167832167833
Alfonso Reyes,2024-09-27,23,14.970825359977415
Alfonso Reyes,2024-09-28,0,16.12299465240642
Alfonso Reyes,2024-09-28,1,17.22104607721046
Alfonso Reyes,2024-09-28,2,17.076923076923077
Alfonso Reyes,2024-09-28,3,17.874837901891517
Alfonso Reyes,2024-09-28,4,16.762831858407083
Alfonso Reyes,2024-09-28,5,18.229675080184073
Alfonso Reyes,2024-09-28,6,18.493062200956942
Alfonso Reyes,2024-09-28,7,16.718151995626027
Alfonso Reyes,2024-09-28,8,15.120967741935484
Alfonso Reyes,2024-09-28,9,15.211329187718617
Alfonso Reyes,2024-09-28,10,14.605263157894736
Alfonso Reyes,2024-09-28,11,14.21374045801527
Alfonso Reyes,2024-09-28,12,14.271467038994714
Alfonso Reyes,2024-09-28,13,12.075511945392492
Alfonso Reyes,2024-09-28,14,13.240092098172733
Alfonso Reyes,2024-09-28,15,13.31134450134537
Alfonso Reyes,2024-09-28,16,11.821721311475411
Alfonso Reyes,2024-09-28,17,13.264627659574469
Alfonso Reyes,2024-09-28,18,12.662044015676816
Alfonso Reyes,2024-09-28,19,12.812532206534062
Alfonso Reyes,2024-09-28,20,13.223076923076924
Alfonso Reyes,2024-09-28,21,14.004802744425385
Alfonso Reyes,2024-09-28,22,14.586022304832714
Alfonso Reyes,2024-09-28,23,16.23783185840708
Alfonso Reyes,2024-09-29,0,16.55225939979303
Alfonso Reyes,2024-09-29,1,15.681818181818183
Alfonso Reyes,2024-09-29,2,16.8375
Alfonso Reyes,2024-09-29,3,17.874837901891517
Alfonso Reyes,2024-09-29,4,18.353407028543145
Alfonso Reyes,2024-09-29,5,17.08505081010489
Alfonso Reyes,2024-09-29,6,17.746478873239436
Alfonso Reyes,2024-09-29,7,18.184817720350715
Alfonso Reyes,2024-09-29,8,16.15414117432198
Alfonso Reyes,2024-09-29,9,15.653851430139241
Alfonso Reyes,2024-09-29,10,15.15328256049359
Alfonso Reyes,2024-09-29,11,14.455542556303014
Alfonso Reyes,2024-09-29,12,14.567826061128109
Alfonso Reyes,2024-09-29,13,12.964330941325455
Alfonso Reyes,2024-09-29,14,14.267401615177544
Alfonso Reyes,2024-09-29,15,13.670930780097319
Alfonso Reyes,2024-09-29,16,14.3828125
Alfonso Reyes,2024-09-29,17,13.982195602231705
Alfonso Reyes,2024-09-29,18,14.15909090909091
Alfonso Reyes,2024-09-29,19,14.374493927125506
Alfonso Reyes,2024-09-29,20,14.98728094968909
Alfonso Reyes,2024-09-29,21,15.2578125
Alfonso Reyes,2024-09-29,22,16.168314840879596
Alfonso Reyes,2024-09-29,23,17.89748743718593
Alfonso Reyes,2024-09-30,0,18.750092085553618
Alfonso Reyes,2024-09-30,1,18.365094339622644
Alfonso Reyes,2024-09-30,2,18.130434782608695
Alfonso Reyes,2024-09-30,3,18.607402031930334
Alfonso Reyes,2024-09-30,4,19.44074250356973
Alfonso Reyes,2024-09-30,5,18.90471439261661
Alfonso Reyes,2024-09-30,6,17.102337282908618
Alfonso Reyes,2024-09-30,7,16.158567774936063
Alfonso Reyes,2024-09-30,8,14.669013131176392
Alfonso Reyes,2024-09-30,9,14.773740458015268
Alfonso Reyes,2024-09-30,10,14.517027863777091
Alfonso Reyes,2024-09-30,11,14.00172860847018
Alfonso Reyes,2024-09-30,12,13.93063662277725
Alfonso Reyes,2024-09-30,13,13.380908225151622
Alfonso Reyes,2024-09-30,14,13.057345360824744
Alfonso Reyes,2024-09-30,15,12.09861591695502
Alfonso Reyes,2024-09-30,16,13.967357958031661
Alfonso Reyes,2024-09-30,17,14.5
Alfonso Reyes,2024-09-30,18,13.93063662277725
Alfonso Reyes,2024-09-30,19,13.740467080089722
Alfonso Reyes,2024-09-30,20,14.13484119883695
Alfonso Reyes,2024-09-30,21,15.606803555010725
Alfonso Reyes,2024-09-30,22,15.48973880597015
Alfonso Reyes,2024-09-30,23,16.403119914707368
Alfonso Reyes,2024-10-01,0,17.70967741935484
Alfonso Reyes,2024-10-01,1,18.174757281553397
Alfonso Reyes,2024-10-01,2,18.00040817252092
Alfonso Reyes,2024-10-01,3,17.26927570093458
Alfonso Reyes,2024-10-01,4,19.237762237762237
Alfonso Reyes,2024-10-01,5,17.542964207261917
Alfonso Reyes,2024-10-01,6,17.162713120830244
Alfonso Reyes,2024-10-01,7,15.69789081885856
Alfonso Reyes,2024-10-01,8,15.181702340435827
Alfonso Reyes,2024-10-01,9,14.265979263985418
Alfonso Reyes,2024-10-01,10,13.87160633484163
Alfonso Reyes,2024-10-01,11,14.406324409082991
Alfonso Reyes,2024-10-01,12,13.87160633484163
Alfonso Reyes,2024-10-01,13,13.102174460582656
Alfonso Reyes,2024-10-01,14,13.102607232968882
Alfonso Reyes,2024-10-01,15,13.291434927697441
Alfonso Reyes,2024-10-01,16,14.241966300586732
Alfonso Reyes,2024-10-01,17,13.148183995934861
Alfonso Reyes,2024-10-01,18,13.410326086956523
Alfonso Reyes,2024-10-01,19,13.548387096774194
